Name,	Mat,	ConsCyc,Finan,	RE,	ConsDef,Health,	Util,	Comm,	Ener,	Indus,	Tech,	TBond,	Curr, Leverage
QQQ,	0.0,	19.33,	2.02,	0.0,	4.88,	6.44,	0.61,	20.35,	0.0,	2.66,	43.72,	0.0,	0.0,	1.0
TQQQ,	0.0,	19.33,	2.02,	0.0,	4.88,	6.44,	0.61,	20.35,	0.0,	2.66,	43.72,	0.0,	0.0,	3.0
QLD,	0.0,	19.33,	2.02,	0.0,	4.88,	6.44,	0.61,	20.35,	0.0,	2.66,	43.72,	0.0,	0.0,	2.0
AGQ,	100.,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	2.0
UGL,	100.,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	2.0
JNUG,	100.,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	2.0
NUGT,	100.,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	2.0
BIB,	0.07,	0.0,	0.0,	0.0,	0.0,	99.93,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	2.0
LABU,	0.07,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	3.0
CURE,	0.07,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	3.0
BIV,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	1.0
BND,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	1.0
TMF,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	3.0
UBT,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	2.0
VGLT,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	1.0
UST,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	2.0
TTT,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	-3.0
TYD,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	3.0
DDM,	1.15,	15.14,	15.39,	0.0,	8.15,	19.51,	0.0,	4.49,	1.75,	15.77,	18.65,	0.0,	0.0,	2.0
UDOW,	8.13,	6.72,	15.89,	0.0,	9.11,	18.24,	0.0,	5.17,	8.51,	11.94,	16.29,	0.0,	0.0,	3.0
DIG,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.,	0.0,	0.0,	0.0,	0.0,	2.0
EDV,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	1.0
EET,	6.92,	18.76,	17.06,	2.45,	6.39,	4.3,	1.88,	14.59,	4.86,	4.14,	18.65,	0.0,	0.0,	2.0
EFO,	7.56,	10.61,	15.46,	3.1,	11.8,	14.24,	4.02,	6.47,	2.92,	14.93,	8.87,	0.0,	0.0,	2.0
ERX,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	0.0,	0.0,	0.0,	2.0
GUSH,	0.28,	0.0,	0.0,	0.0,	0.0,	0.0,	1.02,	0.0,	98.07,	0.0,	0.0,	0.0,	0.0,	2.0
EZJ,	5.16,	15.16,	8.95,	3.47,	7.22,	11.29,	1.42,	10.31,	1.28,	20.63,	15.11,	0.0,	0.0,	2.0
FAS,	0.0,	0.0,	97.54,	0.84,	0.0,	0.0,	0.0,	0.0,	0.0,	1.09,	0.53,	0.0,	0.0,	3.0
LTL,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	100.0,	0.0,	0.0,	0.0,	0.0,	0.0,	2.0
MGK,	1.9,	20.03,	8.18,	2.1,	3.0,	6.55,	0.0,	15.29,	0.09,	4.26,	38.59,	0.0,	0.0,	1.0
MSEGX,	0.18,	14.05,	0.0,	0.0,	0.0,	20.36,	0.0,	23.29,	0.22,	0.0,	41.9,	0.0,	0.0,	1.0
MVV,	4.82,	14.02,	14.64,	8.89,	4.96,	11.67,	3.32,	2.01,	1.59,	17.95,	16.14,	0.0,	0.0,	2.0
RETL,	0.0,	100.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	3.0
ROM,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	10.0,	0.0,	0.0,	90.0,	0.0,	0.0,	2.0
